"Rk","Pk","Draft Year","Player ID","Team","Player Name","College","TOTG","TOTMP","TOTFG","TOTFGA","TOT3P","TOT3PA","TOTFT","TOTFTA","TOTORB","TRB","TOTAST","TOTSTL","TOTBLK","TOTTOV","TOTPF","TOTPTS","FG%","3P%","FT%","MPPG","PTSPG","TRBPG","ASTPG"
"1","1","2000","200001","NJN","Kenyon Martin","Cincinnati","116","2900","513","875","2","9","251","432","76","869","142","124","292","191","340","1279","0.586","0.222","0.581","25","11","7.5","1.2"
"2","2","2000","200002","VAN","Stromile Swift","LSU","50","1332","253","452","8","33","157","256","103","348","37","65","130","126","131","671","0.56","0.242","0.613","26.6","13.4","7","0.7"
"3","3","2000","200003","CHI","Marcus Fizer","Iowa State","97","3020","690","1349","21","72","429","611","100","716","94","90","89","225","257","1830","0.511","0.292","0.702","31.1","18.9","7.4","1"
"4","4","2000","200004","ORL","Mike Miller","Florida","65","1735","290","601","78","226","204","284","80","389","149","81","22","140","122","862","0.483","0.345","0.718","26.7","13.3","6","2.3"
"5","5","2000","200005","ATL","DerMarr Johnson","Cincinnati","32","879","140","293","52","140","70","95","37","123","45","31","30","46","64","402","0.478","0.371","0.737","27.5","12.6","3.8","1.4"
"6","6","2000","200006","CHI","Chris Mihm","Texas","96","2810","498","1003","9","30","399","583","116","945","55","36","264","222","287","1404","0.497","0.3","0.684","29.3","14.6","9.8","0.6"
"7","7","2000","200007","CLE","Jamal Crawford","Michigan","17","577","105","255","33","101","40","51","7","47","76","19","16","53","19","283","0.412","0.327","0.784","33.9","16.6","2.8","4.5"
"8","8","2000","200008","HOU","Joel Przybilla","Minnesota","49","1351","201","340","0","0","85","163","54","339","91","33","165","141","150","487","0.591","","0.521","27.6","9.9","6.9","1.9"
"9","9","2000","200009","ORL","Keyon Dooling","Missouri","59","1659","223","543","67","198","203","277","24","142","198","76","29","134","103","716","0.411","0.338","0.733","28.1","12.1","2.4","3.4"
"10","10","2000","200010","BOS","Jérôme Moïso","UCLA","62","1661","301","608","5","22","135","220","84","421","66","61","81","141","176","742","0.495","0.227","0.614","26.8","12","6.8","1.1"
"11","11","2000","200011","DAL","Etan Thomas","Syracuse","122","3272","495","825","0","0","350","585","100","847","51","85","424","206","341","1340","0.6","","0.598","26.8","11","6.9","0.4"
"12","12","2000","200012","ORL","Courtney Alexander","Fresno State","112","3456","805","1767","166","458","336","438","57","441","249","127","21","220","250","2112","0.456","0.362","0.767","30.9","18.9","3.9","2.2"
"13","13","2000","200013","DET","Mateen Cleaves","Michigan State","123","3760","540","1331","143","457","318","431","5","256","816","195","16","470","274","1541","0.406","0.313","0.738","30.6","12.5","2.1","6.6"
"14","14","2000","200014","MIL","Jason Collier","Georgia Tech","97","2828","479","1045","69","187","318","447","81","693","118","60","110","275","261","1345","0.458","0.369","0.711","29.2","13.9","7.1","1.2"
"15","15","2000","200015","SEA","Desmond Mason","Oklahoma State","129","3868","616","1268","130","349","340","465","55","795","147","158","92","222","271","1702","0.486","0.372","0.731","30","13.2","6.2","1.1"
"16","16","2000","200016","LAC","Quentin Richardson","DePaul","64","2190","405","893","117","317","220","302","118","652","104","59","17","138","144","1147","0.454","0.369","0.728","34.2","17.9","10.2","1.6"
"17","17","2000","200017","CHH","Jamaal Magloire","Kentucky","145","2839","394","784","0","0","276","434","116","789","62","68","268","247","389","1064","0.503","","0.636","19.6","7.3","5.4","0.4"
"18","18","2000","200018","PHI","Speedy Claxton","Hofstra","119","4056","705","1505","65","202","540","722","89","566","660","288","33","368","243","2015","0.468","0.322","0.748","34.1","16.9","4.8","5.5"
"19","19","2000","200019","TOR","Morris Peterson","Michigan State","137","3075","562","1161","146","387","318","426","79","645","127","119","42","202","299","1588","0.484","0.377","0.746","22.4","11.6","4.7","0.9"
"20","20","2000","200020","NYK","Donnell Harvey","Florida","37","746","144","284","0","1","86","141","100","258","37","27","31","60","101","374","0.507","0","0.61","20.2","10.1","7","1"
"21","21","2000","200021","DEN","Mamadou N'Diaye","Auburn","128","2785","319","630","0","2","237","370","95","798","76","88","241","249","383","875","0.506","0","0.641","21.8","6.8","6.2","0.6"
"22","22","2000","200022","POR","Erick Barkley","St. John's","65","2261","316","797","107","326","210","289","20","202","302","167","18","145","157","949","0.396","0.328","0.727","34.8","14.6","3.1","4.6"
"23","23","2000","200023","LAL","Mark Madsen","Stanford","108","2713","428","729","0","2","320","537","176","857","69","47","64","142","274","1176","0.587","0","0.596","25.1","10.9","7.9","0.6"
"24","24","2000","200024","DAL","Dan Langhi","Vanderbilt","121","2957","485","1091","138","360","394","474","47","559","82","58","26","190","187","1502","0.445","0.383","0.831","24.4","12.4","4.6","0.7"
"25","25","2000","200025","CHI","A.J. Guyton","Indiana","128","4348","747","1642","283","684","323","409","17","429","403","129","52","297","171","2100","0.455","0.414","0.79","34","16.4","3.4","3.1"
"26","26","2000","200026","CHI","Jake Voskuhl","UConn","138","3061","323","596","0","0","217","331","288","880","124","86","193","226","437","863","0.542","","0.656","22.2","6.3","6.4","0.9"
"27","27","2000","200027","CHI","Khalid El-Amin","UConn","108","3255","580","1395","195","550","295","359","80","319","479","186","10","288","223","1650","0.416","0.355","0.822","30.1","15.3","3","4.4"
"28","28","2000","200028","WAS","Mike Smith","Louisiana-Monroe","55","1938","353","824","130","409","226","294","125","449","147","90","42","241","110","1062","0.428","0.318","0.769","35.2","19.3","8.2","2.7"
"29","29","2000","200029","MIA","Eddie House","Arizona State","124","4136","763","1794","250","683","268","336","50","502","405","258","19","238","299","2044","0.425","0.366","0.798","33.4","16.5","4","3.3"
"30","30","2000","200030","HOU","Eduardo Nájera","Oklahoma","126","3856","612","1423","85","295","337","504","98","910","215","193","89","257","364","1646","0.43","0.288","0.669","30.6","13.1","7.2","1.7"
"31","31","2000","200031","NYK","Lavor Postell","St. John's","129","3776","494","1148","92","282","347","440","93","716","205","129","58","226","299","1427","0.43","0.326","0.789","29.3","11.1","5.6","1.6"
"32","32","2000","200032","ATL","Hanno Möttölä","Utah","120","3120","538","1075","71","213","345","446","65","551","139","37","50","237","335","1492","0.5","0.333","0.774","26","12.4","4.6","1.2"
"33","33","2000","200033","MIL","Michael Redd","Ohio State","96","3324","699","1562","126","395","355","547","207","593","238","149","11","255","184","1879","0.448","0.319","0.649","34.6","19.6","6.2","2.5"
"34","34","2000","200034","DET","Brian Cardinal","Purdue","132","3693","495","1074","130","356","464","610","61","749","277","259","44","253","409","1584","0.461","0.365","0.761","28","12","5.7","2.1"
"35","35","2000","200035","SAC","Jabari Smith","LSU","61","1777","271","509","25","84","200","313","83","501","126","56","65","183","157","767","0.532","0.298","0.639","29.1","12.6","8.2","2.1"
"36","36","2000","200036","MIL","Jason Hart","Syracuse","132","4492","525","1337","139","426","314","441","16","433","709","329","14","436","361","1503","0.393","0.326","0.712","34","11.4","3.3","5.4"
"37","37","2000","200037","UTA","Kaniel Dickens","Idaho","72","1223","228","489","17","51","155","251","30","389","36","47","39","112","96","628","0.466","0.333","0.618","22.2","8.7","5.4","0.5"
"38","38","2000","200038","MIA","Ernest Brown","Indian Hills Community College","33","","168","276","0","0","59","113","","227","21","","","","","395","0.609","","0.522","","12","6.9","0.6"
"39","39","2000","200039","DEN","Dan McClintock","Northern Arizona University","115","2180","542","858","0","1","279","428","50","486","79","40","196","204","227","1363","0.632","0","0.652","19","11.9","4.2","0.7"
"40","40","2000","200040","GSW","Chris Porter","Auburn","56","1617","320","685","12","39","207","318","94","450","64","116","22","125","146","859","0.467","0.308","0.651","28.9","15.3","8","1.1"
